Path,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
Path_1,15.1671,14.8673,13.9069,13.9338,14.2152,13.8870,14.1335,14.5310,14.4638,14.3099,14.0026,14.0026,13.9834,14.7129,14.8094,14.4609,14.4460,14.7215,14.9984,15.0582,14.0803,15.1224,14.1435,13.3275,13.2314,13.1247,12.7823,12.5851,12.8939,13.5959,14.0017
Path_2,15.1671,15.1671,14.6274,14.6812,14.5496,14.3973,14.3553,14.3380,14.4650,14.8467,15.0474,15.1305,15.2273,14.5312,14.8927,14.8379,14.8379,14.3065,14.4371,14.5225,14.4913,14.4507,14.4507,14.4100,14.6433,14.1479,14.2306,13.9265,14.1517,14.5679,14.6908
Path_3,15.1671,14.9185,14.6235,14.4077,14.5263,14.3056,14.8778,15.1590,14.2776,14.2580,15.3162,15.5526,15.3425,15.4038,14.6703,14.3322,14.5217,15.0612,14.8712,14.6126,14.8954,14.8954,15.1311,14.4297,14.4297,14.5579,14.6612,14.9417,14.8732,14.7165,14.5861
Path_4,15.1671,14.8912,14.9896,14.9896,14.4562,14.1942,15.0470,15.1301,15.0742,15.8080,16.0671,17.2561,16.5339,16.5339,16.3933,16.3477,16.2148,15.8378,14.8211,14.9602,14.7684,14.7140,15.0270,15.1215,15.4213,15.4734,15.5628,15.5628,15.6293,15.8888,15.9238
Path_5,15.1671,15.3854,15.4946,15.6854,15.6213,15.6213,15.9881,16.0556,16.0556,16.2354,16.7074,16.6410,16.9102,16.9630,16.1580,16.2915,16.3583,16.3027,16.9327,16.3788,16.5011,16.7897,16.7367,17.7423,18.6481,18.0284,18.1180,18.3805,18.3805,18.5016,17.9574
Path_6,15.1671,15.3700,14.9967,14.8706,14.9329,14.8530,14.5077,13.8917,13.8917,13.9697,13.8716,13.9335,13.8080,14.2121,14.4615,14.3026,14.2190,15.2781,15.2311,14.9541,15.6003,15.6899,16.1563,16.0116,15.4891,15.4713,15.3777,15.3777,15.7255,15.8519,16.2515
Path_7,15.1671,15.2596,14.8031,14.5846,15.3139,15.6483,15.2927,15.2770,15.2770,15.2266,15.5591,15.5039,15.5519,15.6702,15.7233,15.6799,15.4976,15.6828,15.2532,14.4374,14.6305,14.5011,13.5716,13.7875,13.5724,13.5724,13.5724,13.2243,12.5967,12.7491,12.7153
Path_8,15.1671,15.2142,15.4748,15.1645,15.5091,14.7776,14.4552,14.2789,14.2356,13.7312,13.7020,13.8273,13.8273,14.3988,14.2711,14.1066,14.3457,14.3457,14.4371,14.4371,14.9764,14.7300,14.1408,15.1357,14.3917,13.7246,13.8892,14.5066,14.8492,14.5442,14.2578
Path_9,15.1671,15.2231,15.3729,15.8214,15.6927,16.2414,16.2414,15.7984,16.4060,16.4550,16.6849,16.5962,16.3401,16.0323,16.0323,16.1076,16.6708,16.6207,17.4975,16.5224,16.8128,17.0369,17.2735,17.0557,17.1996,17.1025,17.4976,17.3905,17.2969,17.4388,17.2911
Path_10,15.1671,15.7773,15.6735,16.3297,16.3805,16.3998,16.7392,17.1635,16.0490,16.1003,16.0258,16.3820,16.3820,15.6488,15.5985,15.6443,15.7074,15.3042,15.4408,15.0987,14.8449,14.7068,14.8875,15.1865,15.3156,14.7729,15.3772,15.3772,15.0416,14.9405,15.2026
Path_11,15.1671,15.0275,15.2854,16.1122,15.6066,15.6693,15.3620,14.6882,14.8748,14.6948,13.7523,14.3253,14.1865,14.1865,14.2380,14.3373,14.2558,14.0213,14.1994,13.6854,13.7168,14.0474,13.4965,13.4965,13.7347,13.8147,14.0508,13.8597,13.8597,13.9798,13.4804
Path_12,15.1671,15.2496,14.8582,14.6223,14.6377,13.9058,14.2851,14.6798,14.9268,15.4751,15.4751,15.5994,15.5055,15.5055,15.8210,15.7453,15.8156,15.6830,15.2935,15.7068,15.5760,15.4740,14.8254,14.7634,14.5826,14.6411,14.5589,14.5589,14.6469,14.5940,14.6386
Path_13,15.1671,14.8068,14.8903,15.3301,15.2885,15.5214,15.3646,15.8525,15.3373,15.2930,15.5247,15.6029,15.9051,15.9723,15.4166,15.0055,15.3716,15.1871,15.2874,14.8686,14.8686,15.1545,15.4148,15.1676,16.0598,16.0598,16.2565,15.5829,16.1536,15.8306,15.6250
Path_14,15.1671,15.0357,15.0357,14.9089,15.3938,15.6530,15.3955,15.5360,15.4097,15.0054,14.5479,14.5479,14.5479,15.0315,15.2895,15.2895,15.3390,15.3390,15.5973,15.0401,15.1484,16.2837,16.8906,16.5919,16.4666,16.5020,16.2593,15.8768,15.5739,15.5018,14.9105
Path_15,15.1671,15.1671,15.1671,15.0208,14.9692,15.0140,15.0379,15.1721,15.1498,16.0480,16.1022,16.0346,15.1507,14.9676,15.1012,15.3734,15.1150,15.7478,14.7236,14.5892,14.7134,14.5223,14.1948,14.1111,14.3934,14.1111,13.9610,14.1428,13.5749,13.5271,13.3711
Path_16,15.1671,15.3776,15.2546,14.8957,14.3199,14.5658,14.6539,14.7018,14.4661,14.3910,14.5122,14.4899,14.7525,14.4402,14.4092,14.7840,14.7840,13.9310,13.9310,14.8597,14.6711,14.4255,13.4930,13.4930,13.5312,13.5912,13.9722,14.1162,14.0998,14.1639,14.1248
Path_17,15.1671,15.4705,15.3761,15.7474,15.7474,15.7802,15.7613,16.0678,15.9409,16.1292,16.1292,16.8155,17.1016,16.9503,16.7717,16.1832,16.4013,16.3817,16.4539,16.5200,16.9229,16.8527,17.1256,17.5822,17.8990,17.7263,17.8773,17.6056,17.4697,17.0455,17.2554
Path_18,15.1671,14.1749,13.2530,13.3911,12.8534,12.9077,12.7427,12.4908,12.5274,12.4676,12.4484,12.7711,12.5103,12.5489,12.4388,11.8905,11.8905,11.5816,11.5816,11.7347,11.8969,12.7842,12.4804,12.8885,12.7351,12.9068,13.2880,13.3341,13.3341,13.2562,13.1340
Path_19,15.1671,14.6210,14.7485,14.9978,15.1838,14.9637,14.9637,15.2659,15.1674,14.8725,14.9699,14.4373,14.1222,13.8915,14.0751,14.4973,14.2130,14.3537,14.3121,15.1419,14.4223,15.4803,15.7461,15.8431,16.1109,16.0586,15.7451,15.8491,15.5357,15.4935,15.9599
Path_20,15.1671,15.3536,16.1452,16.1640,15.1322,15.4442,14.6876,14.5903,15.0535,15.6127,15.7005,16.1428,16.0091,16.3949,16.8596,16.9594,16.8919,16.3451,16.3235,15.7679,16.2983,16.5779,15.9371,16.1371,16.3019,16.6139,16.4742,16.5847,17.0454,17.1407,17.2529
Path_21,15.1671,15.1229,15.4991,15.5656,16.2336,15.8114,15.7555,16.1608,15.7501,15.4422,15.4422,14.4343,14.2703,14.3146,14.2578,14.5493,14.7214,14.5315,14.0124,13.4173,13.2666,13.3266,12.8944,13.0392,13.1689,13.7239,13.7793,14.0148,14.0148,14.3037,14.5765
